rating	title	text	images	asin	parent_asin	user_id	timestamp	helpful_vote	verified_purchase
3.0	A reasonable read, not suited to reading aloud.	I found the historical aspect interesting, however the thoughts were sometimes repetitive and since I read it aloud to my partner, this was not as enjoyable as I had hoped.	[]	B000UZJR4K	B000UZJR4K	AEVYJQWPDJZAVVO3RCGUE56YOV3A	1495898142000	0	True
2.0	Not much here!	Well, there just isn't enough of interest here, at all.  Sorry to have to say this, but this book was a huge disappointment to me.<br />When I read it to our granddaughter there was no response from her at all - and no wonder.  I can't imagine how this book got<br />published.  There is no charm, not much story line here, and little to perk up the interest of the reader.  I love cats, but not this one.	[]	0803739397	0803739397	AFZ6VQUUIUH2Z5YU5DRJV2BIVWSA	1400171760000	4	True
5.0	Great cards at great price	Can't beat price. Nice sized cards. Have both Spanish & English words with image on one side,	[]	1411434900	1411434900	AF4VIXOUJK3QQOE3HIJNM4JJ7YVA	1501120660955	1	True
3.0	No Chance of Passing With This Alone	After reading this book cover to cover and subsequently failing the N10-006 in April '16, it became readily apparent that there are a number of very important topics that aren't even mentioned in this book or were simply glossed over as insignificant despite being heavily emphasized on the exam.<br /><br />The only reason I'm giving this book 3 rather than even fewer stars is that A) there is still a lot of good content with supporting diagrams/images and B) the N10-006 exam has clearly been overhauled in terms of the difficulty level required to pass.  While I thought the exam was meant to verify that folks have the necessary core competencies to go into (or in my case continue) a career in networking, that is apparently no longer the case.  They are now expecting test takers to demonstrate existing proficiencies in a number of different areas.  Further, I honestly think they have folks who do not speak English as their primary language writing some of the questions, and a number of questions have multiple right answers with intentionally misleading phrasing.<br /><br />For those of you that are on the fence in regards to taking this exam, I would suggest going another route.  The exam difficulty is in no way commensurate with its reputation (i.e. looks OK on a resume but nothing that is going to be a deciding factor in getting you a  promotion or getting you hired over someone else who doesn't have this cert).  It is not worth the $285 for the test, costs of training materials, or your time in studying.  I did eventually pass the exam on my second attempt by the skin of my teeth in May '16, but will in no way be interested in renewing the cert when the time comes.	[]	0071848223	0071848223	AFRI7LWS5RBJOXHVZ47L5L2ILEIA	1463086709000	9	True
5.0	World War II Heroes.	Because both my parents were WWII veterans, I will read everything I can  that relates to the war. I loved this book - and it was a real page turner and it made me cry. I highly recommend this book!	[]	B089GSG9K5	B089GSG9K5	AGF5QYKC3RFTNKB52WNBN4AGEHSQ	1617158293014	1	True
5.0	A great read.	A great continuation of the story.  A 'surprise' ending.	[]	B09H93VRFR	B09H93VRFR	AEGM7SNFAN4OO6ME545X3V5SSVAQ	1635174933910	0	True
2.0	Very little “through the back door”	I buy Rick Steves to find the out of the way stuff based on his original philosophy of “through the back door”. I was looking for small beach town finds near Barcelona. Small hotels, little local places and where to meet the locals. Only one fishing town was covered. I know there are incredible and less touristy beach towns on Spain’s southern coast but not much to go on With this book. Much more like all the standard books than Rick Steve’s used to be.	[]	1641712988	1641712988	AEBO2M7DKZH3C5VSLVJHAVIWOWEQ	1634601287257	7	True
5.0	Live long and well Walt Longmire!!!	Love Craig Johnson's sense of humor, timing and story telling. One of my favorite places in the world is the Wind River Canyon in Wyoming and I felt like I was there from his descriptions.  Thank you, Craig, and Walt Longmire, for another adventure.	[]	0735220891	0735220891	AEBD3KEX3UYKJOBZYIZG2VGASSJA	1469452523000	0	True
1.0	Bad Formatting!	I love the author but when I downloaded this book and started reading, it was like whaat?  All different chapters...I guess.  Read the synopsis and again, confused.  So I'm borrowing the hardback and reading it.  I'm contacting Kindle for a refund!	[]	B000FC119C	B000FC119C	AF2N7AQLO5UFKJC4FT6WWO76W5LQ	1565628139230	1	True
3.0	YA	At times the characters sounded like teenage girls.  Grumble rumbly tummy... Etc.  Way to much banter in groups.  That being said the story line was decent, so i did read it all.	[]	B079D9FYPW	B079D9FYPW	AFB5GI5PNCLRR6BID725TWCNHNCQ	1519687508618	3	True
5.0	Love	This is one of the most beautiful books I've purchased! The paper is GREAT! The pictures are beautiful. And it's very easy to color in. In love. If you love grayscale or if you've never tried,but want too, I highly reccomend this book!	[]	0994862326	0994862326	AEPXR37AM2H5EVRWOHY6OX63JKLQ	1471176153000	4	True
5.0	Looking forward to a possible Book 3???	Good followup after Book 1, hard to put down...	[]	1505334209	1505334209	AF3UQUNKZGEXTBLX2S47RZ7D6BNQ	1444496251000	0	True
5.0	Small gestures make big changes	Wonderful story about how a simple act of kindness can impact everyone you come in contact with. One of my all time favorite books, a must read!	[]	0316032921	0316032921	AHSRDPIS6BL3HJL7KH5LR7B4GQGQ	1307388760000	0	True
5.0	THANKS FOR A JOB WELL DONE!	Thank you very much for a fast shipping of my book, Clep Informations Systems and Computer Applications!	[]	0837359511	0837359511	AHMXW4OYTS3LGZUYDEPPN6FF2JMA	1168358148000	0	False
5.0	Great story	Good plot, well written story and rounded out characters. Like the series and can't wait for the next book. Keeps you reading	[]	B01N1EV3HC	B01N1EV3HC	AHJYXY76W3NO2MRG4NLPZ2V7ST7Q	1481561969000	0	True
5.0	extremely fabulous	time and beyond each chapter makes you wonder.<br /> its too wonderful to explain	[]	0446670111	0446670111	AFSCWS2M4TSWMAMI7OZZGANNEVRA	1082363634000	0	True
5.0	Took the class	Last night I took a continuing education class over the subject of this book and met Bobbie Christensen.  I really enjoyed the class and it really inspired me to make a plan to write my first book.  I have so many ideas floating around for stories, but never knew all the things involved.  She went over things that I just never thought about; all the forms and processes you have to go through to publish your book as well as taxes and how to market yourself.<br /><br />Writing a book is a very personal thing, a very creative process.  She is sharing what works for her, it's not the only way to get your ideas out there, but it is her way.  I love that she offers her opinions and help in her book; in the first few pages she gives out her email for anyone to contact her with questions.<br /><br />You take her suggestions and move them around to fit you.  If you are really serious about being a writer, this book offers one way to make that dream happen.  Take what you will from this book then do some other research; the more you know, the better equipped you are to handle things.<br /><br />Make this book apart of your research, but don't end there.  Explore all avenues and see what works best for you.  If you like a step by step explanation of the writing to publishing to marketing process, this book is a good pick for you.	[]	0972917349	0972917349	AGIBG5EJ6PTB5YBZ72RPRRTFOCMA	1301424898000	2	False
5.0	Fabulous tale	Richard Blecher weaves a wonderful tale with many twists and turns while firing the very envelop of imagination. Couldn’t put it down on a cold winter’s day. I look forward to his next book.	[]	1734886102	1734886102	AFSRBHRSLEBWRAVFQ2ZNJCISU53Q	1641862916410	0	False
5.0	Excellent novel. It held my interest from beginning to ...	Excellent novel.  It held my interest from beginning to end.	[]	B003B02O14	B003B02O14	AEWVDOA3VNBG6VB3KTG4BI655ZCQ	1415636932000	0	True
5.0	Griffin books and I am never disappointed.	I have read most of W.E.B. Griffin books and I am never disappointed.	[]	B001A8FGDM	B001A8FGDM	AGLOTHY5DYZAU5BJHR6JSDCSFN6A	1433784977000	0	True
5.0	Beautiful	This is a beautiful book, both the physical book itself as well as the writing. I cannot recommend it enough.	[]	1571311777	1571311777	AEYV3YARAHLHNQDJHCSMWJ76JZ7Q	1620272274778	0	True
5.0	Five Stars	ok	[]	B007EEF2PI	B007EEF2PI	AGSP5Y5O5M4OVBP5YM6R6X5IUMPQ	1421860970000	0	True
1.0	Just dont	No color, not very in-depth for a strategy guide, badly translated, if you purchased special edition of the game that came with a mini guidebook, it is more helpful than this guide	[]	1976586887	1976586887	AELEDG6RQREP5776SOGARRIWZNVQ	1580497987072	0	True
4.0	Simple, basic patterns	A decent reference volume, especially for finding projects that use your leftover yarns. I haven't actually made anything from there yet, but the patterns look easy to follow, and generally correct, in terms of stitch count, etc. I look forward to making a quick afghan soon, and will post pictures then.	[]	B00L3K9WWI	B00L3K9WWI	AFQ2T2RZFJBR6VY4SNWKOMW5KCAQ	1529137820701	0	False
5.0	Private London	If you like Patterson, you can't go wrong.  If you've never read him.  You are missing a great author.  Try it.	[]	1455528153	1455528153	AENH7MLDCSCFRR55TFQACORPQXKQ	1362288852000	0	True
5.0	Five Stars	Just as advertised!	[]	1496321340	1496321340	AGU4XF5Q3WTWU6NALEPAJMNOCFWA	1515251236602	0	True
2.0	disappointed	I was pretty disappointed the book was beyond basic. It was like the author didn't even try.	[]	148121392X	148121392X	AEWMJKOM4DTRO4M445QTNU2ZUL6A	1424120062000	1	True
3.0	RETURNED	I returned this book because I did not like the deckle edge and to me the book looked used. I also thought the book was way overpriced at nearly $25.00. I love the subject material so I am ordering the paperback book.	[]	0062294377	0062294377	AH2UBO2KUJZLTIGA4LEDCWHOQUOQ	1672756022329	0	False
3.0	Such a Self-Righteous Little Girl...Sigh	Mom always talked about reading these as a kid and how good and clean they were. We both read it and she said she didn't remember the little girl being quite so preachy and annoying. There were some aspects that I really liked, but I was pretty bored and found that I disagreed on a lot of things that were being taught in this book.	[]	158182064X	158182064X	AGLD5PHZZAA44FOPUEIJ7NXV4FTQ	1382639093000	1	True
5.0	Five Stars	Terrific tale!	[]	B0191X35MG	B0191X35MG	AGJY2GXT7KZMDHDXXLXEWDTDCIHA	1464208000000	0	True
5.0	I grew up with this series of books and so ...	I grew up with this series of books and so did my daughter.  Now I have for my granddaughter and she loves!	[]	037582412X	037582412X	AHDE6HNCZ4NEFBWNQ4LVABYDYQRA	1500679930580	1	True
5.0	beautiful	Lives up to National Geographic reputation for great pictures and intelligent stories. As a retired teacher, I would have loved to have had this in my classroom. Great as a teacher gift, gift for grand children, or for your own kids. You'll love it.	[]	1426306997	1426306997	AHB463RTVQFCLDX5BQMKDVOHVEDA	1368470131000	0	True
3.0	Lots of photos.	It's an interesting, but sad, story.  A good two thirds of the book is devoted to photos.	[]	076436037X	076436037X	AERK2WV3MK3QGFQUFFG4RDLAWM3A	1630892419932	0	True
4.0	Helpful to new users	I had not used a smart phone, so this format was completely new to me and the book really helps to figure out how to accomplish what I want to do.  I checked the book out of the library first, but decided I needed to have my own copy on hand when I ran into a problem.	[]	0672333376	0672333376	AF45XB5MCKH56BRH4WDNKFGGXEUA	1297210430000	1	True
3.0	just not one of her best.	It was okay, just not one of her best.	[]	B00FO5YFUW	B00FO5YFUW	AFF7BBA6MU47VBJCRKQBJZXWLXSQ	1516046076624	0	True
5.0	Making studying fun again!	This is a beautifully done coloring book! As a nursing student, I am always on the lookout for ways to make studying fun and this will do just that! coloring is relaxing and this helps to reinforce concepts. Highly recommended!<br /><br />I review items in hopes that my review will help you to make an informed decision on your purchase as I also rely heavily on customer reviews when making a purchase on Amazon. If this has helped you in any way, please take a moment to click the &#34;helpful&#34; button and let me know. Thanks so much! Have a great day and happy shopping!	[]	0323187986	0323187986	AE7Y247F2GFBJQIEH2EIZIKFAV3Q	1467777787000	1	True
